Property type,Price,Suburb,Postcode,Display address,Bedrooms,Bathrooms,Carspaces,Headline,Description,url,Advert type,Advert name,Advert contact
ApartmentUnitFlat,$365 per week,PENDLE HILL,2145,"7/221-223 Dunmore Street, Pendle Hill",2.0,1.0,1,Updated 2 bedroom apartment with newly paint and carpet with AC to be installed,"**CLICK EMAIL AGENT TO REGISTER FOR AN INSPECTION**   Freshly painted 2 bedroom apartment located in the heart of Wentworthville, schools, shops and transport right at your door.  Features Include: * Open plan living area with new car...",http://www.domain.com.au/7-221-223-dunmore-street-pendle-hill-nsw-2145-13913942,Agency,Belle Property Parramatta,Property Management Department
ApartmentUnitFlat,$364,WESTMEAD,2145,"206/148 Great Western High Way, Westmead",2.0,1.0,1,NEAR NEW 2 BEDROOMS,"Built to a high standard, this modern apartment is located in the heart of Westmead, ideally located only minutes from Parramatta CBD/Station, Westmead Hospital & Westmead Station.  The stylish apartments offer:  2 bedroom Laminate ki...",http://www.domain.com.au/206-148-great-western-high-way-westmead-nsw-2145-13955244,Agency,SGCH,
ApartmentUnitFlat,$380,WENTWORTHVILLE,2145,"9/41 Lane Street, Wentworthville",2.0,1.0,1,Walk to all amenities!,"Lovely 2 bedrooms unit at Lane Street.  Excellent location with only minutes walk to parks, school, train station & shopping centre.  Other features include  - Top floor - High ceiling with brick walls - Very spacious living area with ...",http://www.domain.com.au/9-41-lane-street-wentworthville-nsw-2145-12773499,Agency,Realty Professional,"Elina Choy, Leslie Choy"
Villa,$380 per week,CONSTITUTION HILL,2145,"10/15-17 Hart Drive, Constitution Hill",2.0,2.0,1,Great & Convenient Villa with new carpet!,"Located in a handy location close to transport, shopping centre and school with quick access into Parramatta CBD and Westmead Hospital.  Features include-Unique, split level design with high cathedral ceilings.   Spacious open plan liv...",http://www.domain.com.au/10-15-17-hart-drive-constitution-hill-nsw-2145-13468213,Agency,Best Real Estate,Property Management
ApartmentUnitFlat,$360 PW,WENTWORTHVILLE,2145,"17/119 Station Street, Wentworthville",2.0,1.0,1,Location Location Location !!!!!,"This neat and tidy two bedroom unit is only a five minute walk to Wentworthville Train Station, School and shopping Mall, seven minute walk to Woolworths (as per google maps). Along with its fantastic location, carpet throughout, eat in ki...",http://www.domain.com.au/17-119-station-street-wentworthville-nsw-2145-13893206,Agency,Laing+Simmons Wentworthville,Rental Enquiries
ApartmentUnitFlat,$360 per week,GIRRAWEEN,2145,"23/227-231 Targo Road, Girraween",2.0,1.0,,Perfect for growing family,"This amazing unit is conveniently located in one of the sort after areas in Girraween. Enjoy living in comfort and style with close proximity to schools, shops and public transport. The property includes a living room and 2 bedrooms with a...",http://www.domain.com.au/23-227-231-targo-road-girraween-nsw-2145-14031179,Agency,Blink Property,Blink Property NSW
ApartmentUnitFlat,$360 per week,WESTMEAD,2145,"8/17 Caroline  Street, Westmead",2.0,1.0,1,Top Location In Westmead!,Two bedroom unit located in between Parramatta Park and Westmead Hospital in a small friendly block offers perfect location and following:   -Two bedrooms -Brand new carpet throughout -Freshly painted  -Combined lounge and dining -N...,http://www.domain.com.au/8-17-caroline-street-westmead-nsw-2145-13823280,Agency,Gilmour Property Agents,Gilmour Property Agents
ApartmentUnitFlat,$360,GREYSTANES,2145,Greystanes,1.0,1.0,1,Granny Flat for Rent near New,"To Enquire on this Property, Text this code  A3  to 0472 782 321 (no call number), or use the 'Contact Agent' tab to send an email.  We are looking for a neat and respectful female/male or married couple that can look after the unit.  ...",http://www.domain.com.au/greystanes-nsw-2145-12916550,Agency,Australian Home Partners,Admin Team
ApartmentUnitFlat,$360.00 weekly,PENDLE HILL,2145,"15/261 DUNMORE STREET, Pendle Hill",2.0,1.0,1,Location and Conveinience!!,"Situated in a highly sought after location, Modern unit with lots of natural light, convinient location within minutes walk to shops and station.   Features include: - Recently refurbished throughout with fresh paint and carpets - 2 Lar...",http://www.domain.com.au/15-261-dunmore-street-pendle-hill-nsw-2145-11646093,Agency,Starr Partners Merrylands,RENTAL DEPARTMENT 02 97606677
ApartmentUnitFlat,$360 PW,WENTWORTHVILLE,2145,"4/253 Dunmore Street, Wentworthville",2.0,1.0,1,2 Bedroom Unit With Air Conditioning,We invite you to inspect this 2 bedroom unit. Positioned on the ground floor with a balcony. There is an open plan lounge and dining room with split system air conditioning which leads to a large spacious kitchen with gas cooking.Internal ...,http://www.domain.com.au/4-253-dunmore-street-wentworthville-nsw-2145-13950619,Agency,Laing+Simmons Wentworthville,Rental Enquiries
ApartmentUnitFlat,$360,WENTWORTHVILLE,2145,"2/28 Lane Street, Wentworthville",2.0,1.0,1,Handy to all amenities,"Only 5 minutes walking distance to train station, shopping mall, restaurant, cafe & school is this lovely 2 bedroom unit at 28 Lane Street.  Other features include:-  - Good condition 2 bedrooms - Security complex on first floor - Buil...",http://www.domain.com.au/2-28-lane-street-wentworthville-nsw-2145-12295635,Agency,Realty Professional,"Elina Choy, Leslie Choy"
ApartmentUnitFlat,$360,WESTMEAD,2145,"6/15 Queens Road, Westmead",2.0,1.0,1,Top Floor Unit With Carspace In Sought After Location,This superb two-bedroom unit situated on the top floor of a small neat complex is a must to inspect:  Featuring: 	Spacious combined lounge and dining 	Modern kitchen 	Freshly painted throughout 	Shared laundry 	New laminate flooring...,http://www.domain.com.au/6-15-queens-road-westmead-nsw-2145-13631313,Agency,Starr Partners Parramatta,Christopher Vieira
ApartmentUnitFlat,$360 Per Week,PENDLE HILL,2145,"2/219 Dunmore Street, Pendle Hill",2.0,1.0,1,SPACIOUS UNIT IN A QUIET COMPLEX,"This well presented two-bedroom unit has a beautiful sunny aspect throughout, with a convenient location  Featuring;  2 generous sized bedrooms with built in & balcony to the main Spacious lounge combined dining room, with 2nd balcony...",http://www.domain.com.au/2-219-dunmore-street-pendle-hill-nsw-2145-14055806,Agency,Century 21 Advantage,Leasing Team
ApartmentUnitFlat,$360.00 weekly,PENDLE HILL,2145,"8/261-265 DUNMORE STREET, Pendle Hill",2.0,1.0,1,Superb Two bedroom unit with Spacious lounge and Gas cooking!,Located in the popular suburb of Pendle Hill and located in an ideal located near Pendle Hill railway station and features:-  + Large bright kitchen with granite benchtops and gas cooktop + Spacious combined lounge and dining room + La...,http://www.domain.com.au/8-261-265-dunmore-street-pendle-hill-nsw-2145-13976430,Agency,Starr Partners Merrylands,RENTAL DEPARTMENT 02 97606677
House,$370 Weekly,GREYSTANES,2145,"8a Lloyd Street, Greystanes",2.0,1.0,,Modern 2 Bedroom Granny Flat!,Located in a quiet street this 2 bedroom granny flan is as new and offers all modern inclusions. Features include;    * Modern kitchen with stone benchtops and gas cooking  * Ultra modern bathroom   * Open plan living with split system...,http://www.domain.com.au/8a-lloyd-street-greystanes-nsw-2145-13956265,Agency, Starr Partners Wentworthville,Starr Partners Wentworthville Rentals
ApartmentUnitFlat,$370 Per Week,WENTWORTHVILLE,2145,"24/107-109 Lane Street, Wentworthville",2.0,1.0,1,Prime school catchment location!,"Freshly Painted and Just perfect for couples, commuters and families!   In the heart of Wentworthville Public School catchment!  This spacious modern unit is walking distance to the train station, bus stop out front, close to shopping ...",http://www.domain.com.au/24-107-109-lane-street-wentworthville-nsw-2145-13700119,Agency,Best Real Estate,Property Management
House,$350 per week,PENDLE HILL,2145,"14/275-277 Dunmore Street, Pendle Hill",2.0,1.0,1,Fantastic Unit In A Great Location,"his fantastic 2 bedroom unit offers a spacious lounge and dining area with a balcony, neat kitchen and bathroom, great sized bedrooms and a single lock up garage. Located close to all amenities. Call to inspect today.",http://www.domain.com.au/14-275-277-dunmore-street-pendle-hill-nsw-2145-14066573,Agency,Elders Real Estate Toongabbie,Rentals Team
House,$350,GREYSTANES,2145,"5A Adler Street, Greystanes",2.0,1.0,,FRESHLY PAINTED 2 BEDROOM GRANNY FLAT IN A GREAT LOCATION!!,"This 2 bedroom granny flat is located in a quiet street in popular Greystanes, close to local schools, shops, public transport, and all amenities.  Property Features:  * Freshly Painted with Brand New Flooring * Two good sized bedroom...",http://www.domain.com.au/5a-adler-street-greystanes-nsw-2145-13931479,Agency,Ray White Blacktown City,Georgina Mezher
